zz,Count
48180,56
93955,56
53051,56
7090,56
94014,56
89119,56
55305,56
97420,56
28412,56
30005,56
98077,56
49684,56
89122,56
60510,56
93711,56
75205,56
1803,56
27616,55
2128,55
55128,55
77433,55
84098,55
99201,55
7079,55
33511,55
21740,55
60646,55
74133,55
98290,55
19810,55
87144,55
75044,55
75034,55
8527,55
12601,55
1702,55
46060,55
48911,55
95811,55
6095,55
40509,55
45459,55
20895,55
28601,55
90014,55
96706,55
21061,55
55987,55
49525,55
70503,55
32837,55
2151,55
97305,55
94556,55
33710,55
11233,55
32937,55
37204,55
49855,55
60440,55
73034,55
20109,55
98166,55
22152,55
45208,55
80011,55
60527,55
7470,55
82070,55
23235,55
76017,55
46240,55
74105,55
89128,55
23666,55
17543,55
92880,54
85006,54
75063,54
20110,54
80238,54
1085,54
43224,54
33410,54
99354,54
64068,54
80121,54
98312,54
11566,54
95437,54
68516,54
1945,54
60133,54
33196,54
7054,54
85029,54
63031,54
8724,54
29803,54
15102,54
40291,54
75052,54
1845,54
22401,54
46250,54
45011,54
13440,54
98382,54
40601,54
94559,54
23320,54
48188,54
94520,54
21286,54
7834,54
78130,54
45429,54
26508,54
94555,54
60174,54
2038,54
92374,54
93720,54
53081,54
45231,54
98272,54
33433,54
50315,54
78229,54
66213,53
84092,53
30601,53
2114,53
12550,53
11801,53
32712,53
43055,53
62025,53
22209,53
68510,53
72034,53
30097,53
29615,53
45242,53
22191,53
85027,53
95116,53
93308,53
35205,53
90631,53
1730,53
46202,53
6516,53
40475,53
88061,53
2420,53
52302,53
44035,53
21113,53
28805,53
8043,53
95677,53
50310,53
44124,53
55378,53
98597,53
75074,53
75077,53
22153,53
45209,53
80016,53
1609,53
89014,53
45419,53
85050,53
78721,53
11355,53
90501,53
32224,52
10512,52
98604,52
23451,52
21210,52
21214,52
60546,52
47201,52
32901,52
17403,52
45212,52
77377,52
77373,52
98296,52
76180,52
92618,52
64152,52
33414,52
99352,52
37167,52
89103,52
84096,52
10471,52
92821,52
67212,52
31405,52
93309,52
94534,52
17837,52
98407,52
19047,52
91325,52
96708,52
97015,52
3060,52
77024,52
95817,52
6897,52
85207,52
90650,52
44236,52
94065,52
47374,52
32514,52
98902,52
21204,52
85233,52
92591,52
85015,52
45324,52
45420,52
2184,52
84118,52
11415,52
45202,52
42104,52
68164,52
13850,52
98270,52
59102,52
78726,52
29607,52
46077,52
27712,52
96746,52
98335,52
27518,52
91006,52
2124,51
37415,51
92663,51
2909,51
50265,51
50266,51
35806,51
21217,51
12054,51
75068,51
89031,51
22601,51
34711,51
15642,51
32955,51
40508,51
2459,51
68123,51
48642,51
48176,51
32804,51
2492,51
19121,51
19096,51
87571,51
19701,51
40220,51
46514,51
92707,51
47909,51
91350,51
22301,51
10956,51
78737,51
92629,51
85741,51
97303,51
11572,51
76039,51
28027,51
2062,51
85713,51
12528,51
15229,51
93312,51
87104,51
38018,51
11204,51
45044,51
90274,51
78754,51
12020,51
60046,51
11787,51
10467,51
95695,51
48336,51
85730,51
1801,51
60090,50
89178,50
63114,50
28105,50
47130,50
30135,50
76133,50
93722,50
68106,50
48066,50
20112,50
8876,50
28173,50
32034,50
32246,50
75229,50
48430,50
49418,50
94904,50
95843,50
8817,50
95448,50
98030,50
40299,50
30518,50
85255,50
29403,50
30127,50
43147,50
60050,50
37067,50
80224,50
22911,50
93230,50
78735,50
93004,50
10005,50
11720,50
95131,50
90018,50
85203,50
98466,50
22124,50
92653,50
64118,50
83714,50
92040,50
37129,50
10573,50
55107,50
55109,50
10562,50
68132,50
95648,50
86326,50
38016,50
15301,50
98362,50
92234,50
95018,50
18940,50
6340,50
77055,50
10461,50
93612,50
17701,50
60120,50
67203,50
23462,50
98801,50
55412,50
27617,49
88310,49
60093,49
8822,49
85364,49
44333,49
91502,49
43615,49
8902,49
85248,49
33321,49
95864,49
90720,49
38654,49
19720,49
95005,49
80631,49
54016,49
77042,49
28273,49
36608,49
30809,49
17055,49
20782,49
24153,49
90805,49
34293,49
41042,49
4901,49
33029,49
33024,49
76053,49
20006,49
93035,49
84120,49
40222,49
55318,49
66666,49
33487,49
48154,49
78734,49
92014,49
33615,49
33613,49
14612,49
3054,49
6810,49
94925,49
50311,49
60606,49
27408,49
72401,49
23606,49
30189,49
44120,49
98513,49
49024,49
99503,49
50322,49
49508,49
53214,49
2186,49
76063,49
45230,49
44313,49
63304,49
6484,49
93555,49
33156,49
39402,49
95682,49
60629,49
59101,49
70003,49
85295,49
73120,49
20152,48
60423,48
63701,48
32503,48
29201,48
99207,48
63118,48
78258,48
78251,48
73112,48
85249,48
33175,48
94519,48
85086,48
13601,48
93727,48
48060,48
32905,48
15317,48
53208,48
6437,48
20832,48
21771,48
34231,48
89104,48
20024,48
84405,48
84401,48
89436,48
26003,48
98311,48
66047,48
32725,48
33707,48
33701,48
5452,48
28209,48
60134,48
40324,48
7901,48
12533,48
75001,48
30115,48
33304,48
6830,48
77018,48
48864,48
48009,48
20136,48
83686,48
33027,48
11210,48
19046,48
21144,48
96161,48
46203,48
93950,48
33334,48
44145,48
17022,48
95490,48
80104,48
91042,48
30032,48
91352,48
22306,48
32835,48
85743,48
82001,48
14616,48
95033,48
53092,48
6360,48
94920,48
14150,48
37918,48
60107,48
6001,48
78245,48
28270,48
62234,48
97031,48
48183,48
87105,48
98663,48
38017,48
32819,48
98045,48
34683,48
2458,48
19003,48
19004,48
3103,48
3102,48
43130,48
22310,48
85051,48
29609,48
95691,48
7043,48
33436,48
75201,48
12508,48
29681,48
85210,48
83301,48
61802,48
21409,47
28401,47
60098,47
1960,47
85379,47
32507,47
92660,47
6033,47
33445,47
2908,47
85023,47
44134,47
33172,47
3053,47
91744,47
6851,47
18966,47
