City,Count
"West Hartford, CT",116
"Yuma, AZ",116
"Waco, TX",116
"Warren, MI",116
"Waukesha, WI",115
"Monterey, CA",115
"Nampa, ID",115
"Newport Beach, CA",114
"Harrisonburg, VA",114
"Madison, VI",114
"Daly City, CA",114
"Albuquerque, NE",113
"Port Townsend, WA",113
"Laguna Niguel, CA",113
"Allentown, PA",113
"Muskegon, MI",113
"Pueblo, CO",113
"Tucson, AR",112
"Surprise, AZ",112
"Valencia, CA",112
"West Jordan, UT",112
"Lafayette, CA",112
"Pullman, WA",112
"College Park, MD",112
"Summerville, SC",112
"Jupiter, FL",111
"Philadelphia, OR",111
"Woodstock, GA",111
"Citrus Heights, CA",111
"Midlothian, VA",111
"Johnson City, TN",111
"Lakewood, CA",111
"Binghamton, NY",111
"Hampton, VA",111
"Claremont, CA",111
"Lewisville, TX",111
"Cypress, TX",110
"Salem, MA",110
"Helena, MT",110
"Manhattan Beach, CA",110
"Arlington Heights, IL",110
"Madison, AL",110
"Largo, FL",110
"Macon, GA",110
"Lexington, MA",109
"Belmont, MA",109
"Kansas City, KS",109
"Davenport, IA",109
"McKinney, TX",109
"Nevada City, CA",109
"Montclair, NJ",109
"Trenton, NJ",108
"Cherry Hill, NJ",108
"Malden, MA",108
"Doylestown, PA",108
"Stillwater, OK",108
"Albany, CA",108
"Lake Forest, CA",107
"LOS ANGELES, CA",107
"Greeley, CO",107
"Wheaton, IL",107
"Bloomington, MN",107
"Downers Grove, IL",107
"San Antonio, SD",107
"Danville, CA",107
"Pacifica, CA",107
"North Las Vegas, NV",106
"Minneapolis, MI",106
"Natick, MA",106
"Tigard, OR",106
"denver, CO",106
"Sparks, NV",106
"Ridgewood, NY",106
"San Pedro, CA",105
"New Port Richey, FL",105
"Snohomish, WA",105
"Canton, MI",104
"Pomona, CA",104
"Richland, WA",104
"Schaumburg, IL",104
"Sedona, AZ",104
"Carmichael, CA",104
"Broken Arrow, OK",104
"Duluth, GA",103
"Westerville, OH",103
"Tustin, CA",103
"Phoenixville, PA",103
"Kennewick, WA",102
"Belmont, CA",102
"Columbus, GA",102
"Amarillo, TX",102
"Rio Rancho, NM",102
"Takoma Park, MD",101
"Forest Hills, NY",101
"Saint Charles, MO",101
"Moscow, ID",101
"Skokie, IL",101
"Pearland, TX",101
"Richmond, TX",101
"Palm Harbor, FL",101
"Fairfield, CA",100
"Albany, OR",100
"St Louis, MO",100
"Hyattsville, MD",100
"Lacey, WA",100
"Lynchburg, VA",100
"Panama City, FL",99
"san jose, CA",99
"philadelphia, PA",99
"Palatine, IL",99
"BROOKLYN, NY",99
"Auburn, AL",99
"Idaho Falls, ID",99
"Sonoma, CA",99
"Grand Prairie, TX",99
"Bellevue, NE",98
"Meridian, ID",98
"Bryan, TX",98
"Rapid City, SD",98
"Bowie, MD",98
"Burlingame, CA",98
"Prescott, AZ",98
"Sterling Heights, MI",98
"San Anselmo, CA",98
"Upland, CA",97
"Long Island City, NY",97
"Highlands Ranch, CO",97
"Vero Beach, FL",97
"Flint, MI",97
"Plymouth, MI",97
"Winchester, VA",96
"Towson, MD",95
"Huntington, WV",95
"orlando, FL",95
"Glenview, IL",95
"Milwaukie, OR",95
"Athens, OH",95
"Manchester, CT",94
"Concord, NH",94
"Cheyenne, WY",94
"NEW YORK, NY",94
"Vacaville, CA",94
"Fairfax, CA",94
"Easton, PA",93
"Annandale, VA",93
"Grants Pass, OR",93
"Waterford, MI",93
"Ferndale, MI",93
"Oshkosh, WI",93
"Edina, MN",93
"Antioch, CA",92
"Stafford, VA",92
"Fairfield, CT",92
"Carrboro, NC",92
"Hamden, CT",92
"San Clemente, CA",92
"Auburn, CA",92
"Greenville, NC",92
"Hilliard, OH",92
"Potomac, MD",91
"Port Orchard, WA",91
"dallas, TX",90
"Boone, NC",90
"Pleasant Hill, CA",90
"Warwick, RI",90
"Santa Maria, CA",90
"Kenosha, WI",90
"Rocklin, CA",89
"Kent, OH",89
"Kenmore, WA",89
"Sunnyside, NY",89
"Plymouth, MN",89
"Woodside, NY",89
"oakland, CA",89
"Lombard, IL",89
"Palmdale, CA",88
"Reseda, CA",88
"Coral Springs, FL",88
"Springfield, MA",88
"Valparaiso, IN",88
"columbus, OH",88
"Des Plaines, IL",88
"Carbondale, IL",87
"Burnsville, MN",87
"Laramie, WY",87
"Bloomfield, NJ",87
"Lenexa, KS",87
"NYC, NY",87
"St Paul, MN",87
"Ontario, CA",87
"Myrtle Beach, SC",87
"Fontana, CA",87
"Clifton, NJ",87
"Charleston, WV",86
"Gig Harbor, WA",86
"Pembroke Pines, FL",86
"Spring Hill, FL",86
"Saratoga, CA",86
"Newbury Park, CA",86
"Fair Oaks, CA",86
"Oregon City, OR",86
"Saratoga Springs, NY",86
"Westminster, CA",86
"Westminster, MD",85
"West Des Moines, IA",85
"tucson, AZ",85
"Leander, TX",85
"Castle Rock, CO",85
"Aliso Viejo, CA",85
"Winston-Salem, NC",85
"Visalia, CA",85
"Casper, WY",85
"Florissant, MO",85
"Juneau, AK",85
"Eagan, MN",85
"Terre Haute, IN",84
"Grand Forks, ND",84
"Crystal Lake, IL",84
"Kailua, HI",84
"Yakima, WA",84
"Wheat Ridge, CO",84
"Hemet, CA",84
"Poway, CA",84
"Dubuque, IA",84
"Midland, MI",84
"Brick, NJ",84
"Minnetonka, MN",84
"Danbury, CT",83
"Apopka, FL",83
"Downingtown, PA",83
"Dublin, CA",83
"Port Saint Lucie, FL",83
"Layton, UT",83
"Laredo, TX",83
"Lilburn, GA",83
"Stanford, CA",83
"Ballwin, MO",83
"La Crosse, WI",83
"Midvale, UT",83
"Conway, AR",83
"san antonio, TX",83
"Youngstown, OH",83
"Lansdale, PA",82
"Portsmouth, NH",82
"Brentwood, TN",82
"Saginaw, MI",82
"South San Francisco, CA",82
"Brighton, MI",82
"Sylmar, CA",82
"Riverview, FL",82
"Decatur, IL",82
"Jackson Heights, NY",82
"Springfield, OH",82
"Granada Hills, CA",81
"Cookeville, TN",81
"South Jordan, UT",81
"Mercer Island, WA",81
"Watsonville, CA",81
"Battle Creek, MI",81
"Keller, TX",81
"Beverly, MA",81
"Phoenix, AR",80
"Cordova, TN",80
"Buena Park, CA",80
"Chevy Chase, MD",80
"Bel Air, MD",80
"Catonsville, MD",80
"Dorchester, MA",80
"Stone Mountain, GA",80
"Elmhurst, IL",79
"Parkville, MD",79
"Glen Burnie, MD",79
"Greenwood, IN",79
"Jackson, MI",79
"Clermont, FL",79
"Milford, CT",79
"Glen Allen, VA",79
"Fallbrook, CA",79
"Canton, GA",79
"las vegas, NV",78
"Elkhart, IN",78
"Saint Augustine, FL",78
"atlanta, GA",78
"Hamilton, OH",78
"San Diego, AZ",78
"Fairfield, IA",78
"Suwanee, GA",78
"Vashon, WA",78
"Daytona Beach, FL",78
"McLean, VA",78
"Brandon, FL",77
"Media, PA",77
"Hillsborough, NC",77
"Rancho Cordova, CA",77
"Ankeny, IA",77
"washington, DC",77
"Hendersonville, NC",77
"Owings Mills, MD",77
"Tucker, GA",77
"Gainesville, GA",77
"Georgetown, TX",77
"minneapolis, MN",77
"Highland Park, NJ",76
"Hagerstown, MD",76
"Milpitas, CA",76
"Port Orange, FL",76
"Bridgewater, NJ",76
"Mechanicsville, VA",76
"Poulsbo, WA",76
"Joliet, IL",76
"Malibu, CA",76
"Ormond Beach, FL",76
"Monrovia, CA",76
"Toms River, NJ",76
"Wauwatosa, WI",76
"Stevens Point, WI",75
"Jamaica, NY",75
"Mechanicsburg, PA",75
"Acton, MA",75
"Greenwich, CT",75
"Flower Mound, TX",75
"Placentia, CA",75
"CHICAGO, IL",75
"West Hills, CA",75
"Santa Clarita, CA",75
"Yorba Linda, CA",75
"Burke, VA",75
"Arcadia, CA",75
"Norristown, PA",75
"Chatsworth, CA",75
"Noblesville, IN",75
"West Linn, OR",75
"Berwyn, IL",75
"South Pasadena, CA",74
"Piscataway, NJ",74
"Rochester Hills, MI",74
"Mankato, MN",74
"Merced, CA",74
"Concord, NC",74
"Haverhill, MA",74
"Scranton, PA",74
"Hartford, CT",74
"Palm Coast, FL",74
"Carlisle, PA",74
"West Bloomfield, MI",74
"Lehi, UT",74
"Jackson, MS",74
"Dover, NH",74
"Carson City, NV",74
"Shawnee, KS",74
"Chesterfield, MO",74
"Marysville, WA",74
"Dunedin, FL",74
"Maryville, TN",74
"Sanford, FL",73
"Niagara Falls, NY",73
"Lees Summit, MO",73
"Queens, NY",73
"Joplin, MO",73
"Pittsburgh, OR",73
"Dallas, SD",73
"Bloomfield Hills, MI",73
"League City, TX",73
"louisville, KY",73
"South Burlington, VT",73
"Portage, MI",73
"Plainfield, IL",73
"San Angelo, TX",73
"Mesquite, TX",72
"Rock Hill, SC",72
"Middleton, WI",72
"Newark, NJ",72
"South Lake Tahoe, CA",72
"Nashville, SC",72
"Concord, MA",72
"Bridgeport, CT",72
"West Chester, OH",72
"Mckinney, TX",72
"SAN FRANCISCO, CA",72
"Orange Park, FL",72
"Columbus, IN",72
"Bountiful, UT",71
"Altamonte Springs, FL",71
"Evergreen, CO",71
"Santa Fe, NE",71
"Fort Smith, AR",71
"New Rochelle, NY",71
"Huntington, NY",71
"Morristown, NJ",71
"Bedford, TX",71
"Hendersonville, TN",71
"Tyler, TX",71
"Canoga Park, CA",71
"Liverpool, NY",71
"Moreno Valley, CA",71
"Cranston, RI",71
"Venice, FL",70
"Pasadena, TX",70
"Southfield, MI",70
"Sausalito, CA",70
"Webster, NY",70
"Huntersville, NC",70
"Wichita Falls, TX",70
"Brunswick, ME",70
"Boulder Creek, CA",70
"Glen Ellyn, IL",70
"Northbrook, IL",70
"Hattiesburg, MS",69
"New Paltz, NY",69
"Lexington, SC",69
"Los Alamos, NM",69
"Spokane Valley, WA",69
"Santee, CA",69
"Conroe, TX",69
"Loveland, OH",69
"Hermosa Beach, CA",69
"Palm Beach Gardens, FL",69
"Cypress, CA",69
"Pottstown, PA",69
"Clifton Park, NY",69
"Killeen, TX",69
"La Crescenta, CA",69
"Park City, UT",69
"Key West, FL",69
"Grayslake, IL",69
"Deltona, FL",68
"Grapevine, TX",68
"Tualatin, OR",68
"Mountlake Terrace, WA",68
"Wilmette, IL",68
"Walla Walla, WA",68
"Alhambra, CA",68
"Newark, CA",68
"Sheboygan, WI",68
"Maplewood, NJ",68
"Simpsonville, SC",68
"Cleveland, TN",68
"Lake Stevens, WA",68
"Homestead, FL",67
"Marlborough, MA",67
"Woodland, CA",67
"Janesville, WI",67
"Pittsford, NY",67
"Hopkins, MN",67
"Kihei, HI",67
"Pittsfield, MA",67
"Seminole, FL",67
"Matthews, NC",67
"Kalispell, MT",67
"Wyoming, MI",67
"Columbus, NY",67
"New york, NY",67
"Kaneohe, HI",67
"Rochester, MI",67
"Levittown, PA",67
"Los Osos, CA",67
"Marina Del Rey, CA",67
"Kingsport, TN",67
"Wellesley, MA",67
"Clarkston, MI",67
"Ukiah, CA",67
"New Albany, IN",66
"Bangor, ME",66
"Portsmouth, VA",66
"Euless, TX",66
"Bismarck, ND",66
"Easthampton, MA",66
"Laguna Beach, CA",66
"Roseburg, OR",66
"sacramento, CA",66
"Minneapolis, ME",66
"Havertown, PA",66
"Pocatello, ID",66
"Montpelier, VT",66
"Belleville, IL",66
"Fairport, NY",66
"Neenah, WI",66
"Abilene, TX",66
"Mount Vernon, WA",66
"Paso Robles, CA",65
"Ojai, CA",65
"Canyon Country, CA",65
"Westport, CT",65
"Pacific Palisades, CA",65
"Ellensburg, WA",65
"St Petersburg, FL",65
"Glendora, CA",65
"Valrico, FL",65
"Melrose, MA",65
"Soquel, CA",65
"Eugene, OK",65
"The Woodlands, TX",65
"Buffalo Grove, IL",65
"SLC, UT",65
"Wake Forest, NC",65
"Sierra Vista, AZ",64
"Denver, CA",64
"Brattleboro, VT",64
"Novi, MI",64
"High Point, NC",64
"Union City, CA",64
"Needham, MA",64
"Highland Park, IL",64
"Hermitage, TN",64
"New Brunswick, NJ",64
"Snellville, GA",64
"Anacortes, WA",64
"Arroyo Grande, CA",64
"Winter Haven, FL",64
"Westland, MI",64
"South Portland, ME",64
"Fall River, MA",64
"Hoffman Estates, IL",64
"jacksonville, FL",64
"Cuyahoga Falls, OH",64
"Atascadero, CA",64
"Roslindale, MA",64
"Humble, TX",64
"Cedar Falls, IA",64
"Oak Ridge, TN",64
"Bolingbrook, IL",63
"Hillsborough, NJ",63
"Bayonne, NJ",63
"Morgan Hill, CA",63
"Winnetka, CA",63
"Moorhead, MN",63
"Davie, FL",63
"Northfield, MN",63
"Moorpark, CA",63
"Bristol, CT",63
"Port Angeles, WA",63
"Jonesboro, AR",63
"Downey, CA",63
"Slidell, LA",63
"Kingston, NY",62
"Tracy, CA",62
"Deerfield Beach, FL",62
"Belleville, MI",62
